name;id
Andet;97134e5e-8569-4952-905e-f1bb8d1ebbd5
Biomasse-baserede materialer;37c8e0f9-3884-46f5-a77d-60743ddae095
Ikke-metalliske mineralske materialer;327eeb5f-75cd-4aa8-bad6-ff93ea5405a4
Materialer af fossile brændsler;b441de72-4ede-4262-8171-7173561ca82e
Metaller;8f7b6e98-577f-4c5d-85c4-b85ebfdfdb29
